time (us), tick speed, set point
left motor

13475184.00, 0.00, 0.00
13483192.00, 0.00, 0.00
13491208.00, 0.00, 0.00
13499216.00, 0.00, 0.00
13507224.00, 0.00, 0.00
13515228.00, 0.00, 0.00
13523236.00, 0.00, 0.00
13531244.00, 0.00, 0.00
13539252.00, 0.00, 0.00
13547260.00, 0.00, 0.00
13555268.00, 0.00, 0.00
13563276.00, 0.00, 0.00
13571284.00, 0.00, 0.00
13579292.00, 0.00, 0.00
13587300.00, 0.00, 0.00
13595304.00, 0.00, 0.00
13603312.00, 0.00, 0.00
13611320.00, 0.00, 0.00
13619328.00, 0.00, 0.00
13627336.00, 0.00, 0.00
13635344.00, 0.00, 0.00
13643352.00, 0.00, 0.00
13651360.00, 0.00, 0.00
13659368.00, 0.00, 0.00
13667376.00, 0.00, 0.00
13675384.00, 0.00, 0.00
13683392.00, 0.00, 0.00
13691396.00, 0.00, 0.00
13699408.00, 0.00, 0.00
13707416.00, 0.00, 0.00
13715424.00, 0.00, 0.00
13723432.00, 0.00, 0.00
13731440.00, 0.00, 0.00
13739448.00, 0.00, 0.00
13747456.00, 0.00, 0.00
13755464.00, 0.00, 0.00
13763476.00, 0.00, 0.00
13771480.00, 0.00, 0.00
13779488.00, 0.00, 0.00
13787496.00, 0.00, 0.00
13795504.00, 0.00, 0.00
13803512.00, 0.00, 0.00
13811524.00, 0.00, 0.00
13819528.00, 0.00, 0.00
13827540.00, 0.00, 0.00
13835548.00, 0.00, 0.00
13843552.00, 0.00, 0.00
13851564.00, 0.00, 0.00
13859572.00, 0.00, 0.00
13867580.00, 0.00, 0.00
13875588.00, 0.00, 0.00
13883596.00, 0.00, 0.00
13891604.00, 0.00, 0.00
13899612.00, 0.00, 0.00
13907620.00, 0.00, 0.00
13915628.00, 0.00, 0.00
13923636.00, 0.00, 0.00
13931644.00, 0.00, 0.00
13939656.00, 0.00, 0.00
13947660.00, 0.00, 0.00
13955668.00, 0.00, 0.00
13963676.00, 0.00, 0.00
13971684.00, 0.00, 0.00
13979692.00, 0.00, 0.00
13987704.00, 0.00, 0.00
13995712.00, 0.00, 0.00
14003720.00, 0.00, 0.00
14011728.00, 0.00, 0.00
14019736.00, 0.00, 0.00
14027748.00, 0.00, 0.00
14035756.00, 0.00, 0.00
14043764.00, 0.00, 0.00
14051772.00, 0.00, 0.00
15056024.00, 0.00, 600.00
15064032.00, 0.00, 600.00
15072036.00, 0.00, 600.00
15080048.00, 374.44, 600.00
15088052.00, 1124.44, 600.00
15096060.00, 1748.25, 600.00
15104068.00, 2247.75, 600.00
15112076.00, 2497.50, 600.00
15120084.00, 2747.25, 600.00
15128088.00, 2873.56, 600.00
15136100.00, 2870.69, 600.00
15144108.00, 2997.00, 600.00
15152116.00, 3121.88, 600.00
15160124.00, 3121.88, 600.00
15168128.00, 3248.38, 600.00
15176132.00, 3248.38, 600.00
15184144.00, 3369.94, 600.00
15192148.00, 3498.25, 600.00
15200184.00, 3484.32, 600.00
15208188.00, 3498.25, 600.00
15216196.00, 3496.50, 600.00
15224204.00, 3496.50, 600.00
15232212.00, 3621.38, 600.00
15240224.00, 3619.57, 600.00
15248232.00, 3621.38, 600.00
15256244.00, 3744.38, 600.00
15264252.00, 3746.25, 600.00
15272264.00, 3869.20, 600.00
15280272.00, 3871.13, 600.00
15288280.00, 3996.00, 600.00
15296284.00, 3998.00, 600.00
15304292.00, 3996.00, 600.00
15312304.00, 4118.82, 600.00
15320308.00, 4122.94, 600.00
15328324.00, 4116.77, 600.00
15336332.00, 4120.88, 600.00
15344344.00, 4118.82, 600.00
15352364.00, 4239.40, 600.00
15360372.00, 4120.88, 600.00
15368380.00, 4245.75, 600.00
15376396.00, 4241.52, 600.00
15384400.00, 4372.81, 600.00
15392408.00, 4245.75, 600.00
15400416.00, 4370.63, 600.00
15408428.00, 4368.45, 600.00
15416436.00, 4245.75, 600.00
15424440.00, 4372.81, 600.00
15432448.00, 4245.75, 600.00
15440456.00, 4370.63, 600.00
15448464.00, 4245.75, 600.00
15456472.00, 4370.63, 600.00
15464480.00, 4495.50, 600.00
15472492.00, 4368.45, 600.00
15480496.00, 4497.75, 600.00
15488500.00, 4497.75, 600.00
15496516.00, 4615.77, 600.00
15504524.00, 4495.50, 600.00
15512532.00, 4495.50, 600.00
15520540.00, 4495.50, 600.00
15528564.00, 4611.17, 600.00
15536572.00, 4495.50, 600.00
15544600.00, 4608.87, 600.00
15552608.00, 4495.50, 600.00
15560612.00, 4622.69, 600.00
15568620.00, 4620.38, 600.00
15576628.00, 4620.38, 600.00
15584664.00, 4604.28, 600.00
15592672.00, 4495.50, 600.00
15600708.00, 4604.28, 600.00
15608716.00, 4495.50, 600.00
15616724.00, 4495.50, 600.00
15624732.00, 4495.50, 600.00
15632740.00, 4495.50, 600.00
15640748.00, 4620.38, 600.00
15648752.00, 4622.69, 600.00
15656764.00, 4618.07, 600.00
15664772.00, 4745.25, 600.00
15672792.00, 4738.15, 600.00
15680800.00, 4620.38, 600.00
15688804.00, 4747.63, 600.00
15696816.00, 4618.07, 600.00
15704820.00, 4747.63, 600.00
15712824.00, 4622.69, 600.00
15720832.00, 4745.25, 600.00
15728836.00, 4747.63, 600.00
15736844.00, 4745.25, 600.00
15744864.00, 4738.15, 600.00
15752876.00, 4618.07, 600.00
15760884.00, 4745.25, 600.00
15768892.00, 4620.38, 600.00
15776904.00, 4618.07, 600.00
15784908.00, 4622.69, 600.00
15792912.00, 4622.69, 600.00
15800920.00, 4620.38, 600.00
15808924.00, 4622.69, 600.00
15816952.00, 4733.43, 600.00
15824960.00, 4620.38, 600.00
15832968.00, 4745.25, 600.00
15840980.00, 4742.89, 600.00
15849012.00, 4855.58, 600.00
15857040.00, 4733.43, 600.00
15865076.00, 4728.72, 600.00
15873084.00, 4620.38, 600.00
15881092.00, 4745.25, 600.00
15889104.00, 4742.89, 600.00
15897112.00, 4745.25, 600.00
15905120.00, 4870.13, 600.00
15913128.00, 4745.25, 600.00
15921136.00, 4745.25, 600.00
15929148.00, 4742.89, 600.00
15937168.00, 4738.15, 600.00
15945176.00, 4620.38, 600.00
15953180.00, 4622.69, 600.00
15961184.00, 4622.69, 600.00
15969212.00, 4733.43, 600.00
15977220.00, 4620.38, 600.00
15985228.00, 4745.25, 600.00
15993236.00, 4745.25, 600.00
16001240.00, 4747.63, 600.00
16009252.00, 4867.70, 600.00
16017260.00, 4745.25, 600.00
16025272.00, 4742.89, 600.00
16033304.00, 4855.58, 600.00
16041312.00, 4745.25, 600.00
16049316.00, 4747.63, 600.00
16057320.00, 4747.63, 600.00
16065328.00, 4745.25, 600.00
16073336.00, 4745.25, 600.00
16081344.00, 4870.13, 600.00
16089352.00, 4745.25, 600.00
16097360.00, 4745.25, 600.00
16105372.00, 4742.89, 600.00
16113376.00, 4622.69, 600.00
16121384.00, 4620.38, 600.00
16129396.00, 4742.89, 600.00
16137404.00, 4620.38, 600.00
16145440.00, 4728.72, 600.00
16153444.00, 4622.69, 600.00
16161472.00, 4858.00, 600.00
16169476.00, 4747.63, 600.00
16177484.00, 4745.25, 600.00
16185488.00, 4872.56, 600.00
16193496.00, 4745.25, 600.00
16201500.00, 4747.63, 600.00
16209528.00, 4858.00, 600.00
16217536.00, 4745.25, 600.00
16225544.00, 4745.25, 600.00
16233564.00, 4862.84, 600.00
16241572.00, 4745.25, 600.00
16249596.00, 4860.42, 600.00
16257604.00, 4745.25, 600.00
16265608.00, 4747.63, 600.00
16273616.00, 4745.25, 600.00
16281620.00, 4747.63, 600.00
16289628.00, 4620.38, 600.00
17295512.00, 4748.06, 300.00
17303536.00, 4735.79, 300.00
17311544.00, 4620.38, 300.00
17319548.00, 4622.69, 300.00
17327556.00, 4620.38, 300.00
17335564.00, 4620.38, 300.00
17343568.00, 4497.75, 300.00
17351576.00, 4620.38, 300.00
17359588.00, 4493.26, 300.00
17367592.00, 4372.81, 300.00
17375600.00, 4370.63, 300.00
17383612.00, 4368.45, 300.00
17391624.00, 4243.63, 300.00
17399640.00, 4366.27, 300.00
17407644.00, 4122.94, 300.00
17415648.00, 4247.88, 300.00
17423656.00, 4120.88, 300.00
17431660.00, 4122.94, 300.00
17439664.00, 4122.94, 300.00
17447668.00, 3998.00, 300.00
17455680.00, 3994.01, 300.00
17463704.00, 3988.04, 300.00
17471708.00, 3873.06, 300.00
17479716.00, 3746.25, 300.00
17487724.00, 3746.25, 300.00
17495728.00, 3748.13, 300.00
17503744.00, 3742.51, 300.00
17511748.00, 3623.19, 300.00
17519756.00, 3746.25, 300.00
17527760.00, 3623.19, 300.00
17535772.00, 3619.57, 300.00
17543776.00, 3623.19, 300.00
17551784.00, 3621.38, 300.00
17559788.00, 3623.19, 300.00
17567796.00, 3621.38, 300.00
17575800.00, 3498.25, 300.00
17583808.00, 3496.50, 300.00
17591812.00, 3498.25, 300.00
17599816.00, 3373.31, 300.00
17607824.00, 3371.63, 300.00
17615860.00, 3484.32, 300.00
17623872.00, 3369.94, 300.00
17631876.00, 3248.38, 300.00
17639884.00, 3371.63, 300.00
17647896.00, 3245.13, 300.00
17655904.00, 3246.75, 300.00
17663932.00, 3363.23, 300.00
17671944.00, 3120.32, 300.00
17679952.00, 3246.75, 300.00
17687964.00, 3120.32, 300.00
17695968.00, 3123.44, 300.00
17703976.00, 2997.00, 300.00
17711980.00, 2998.50, 300.00
17719988.00, 2997.00, 300.00
17728000.00, 2995.51, 300.00
17736004.00, 2998.50, 300.00
17744016.00, 2870.69, 300.00
17752024.00, 2997.00, 300.00
