// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
-5.67, -500.00
88.97, -500.00
-265.67, -500.00
-967.63, -500.00
-1580.61, -500.00
-1923.75, -500.00
-2091.32, -500.00
-2265.60, -500.00
-2356.84, -500.00
-2440.73, -500.00
-2521.74, -500.00
-2695.65, -500.00
-2694.71, -500.00
-2781.64, -500.00
-2871.56, -500.00
-2868.57, -500.00
-2948.32, -500.00
-3028.73, -500.00
-2956.52, -500.00
-3033.98, -500.00
-3159.15, -490.00
-3122.83, -490.00
-3295.18, -490.00
-3296.32, -490.00
-3381.89, -490.00
-3385.42, -490.00
-3466.20, -490.00
-3473.43, -490.00
-3549.17, -490.00
-3556.56, -490.00
-3550.40, -490.00
-3556.56, -490.00
-3635.73, -490.00
-3719.72, -490.00
-3728.75, -490.00
-3730.05, -490.00
-3731.34, -490.00
-3721.01, -490.00
-3721.01, -490.00
-3653.44, -490.00
-3673.96, -480.00
-3807.55, -480.00
-3731.34, -480.00
-3807.55, -480.00
-3884.67, -480.00
-3815.47, -480.00
-3895.43, -480.00
-3806.23, -480.00
-3884.67, -480.00
-3818.12, -480.00
-3894.08, -480.00
-3895.43, -480.00
-3892.73, -480.00
-3972.37, -480.00
-3892.73, -480.00
-3892.73, -480.00
-3827.42, -480.00
-3807.55, -480.00
-3806.23, -480.00
-3891.39, -480.00
-3920.90, -470.00
-3895.43, -470.00
-3979.24, -470.00
-3973.74, -470.00
-3892.73, -470.00
-3970.99, -470.00
-3973.74, -470.00
-3895.43, -470.00
-3977.86, -470.00
-3973.74, -470.00
-3972.37, -470.00
-3892.73, -470.00
-3979.24, -470.00
-3894.08, -470.00
-3819.44, -470.00
-3806.23, -470.00
-3807.55, -470.00
-3895.43, -470.00
-3892.73, -470.00
-3892.73, -470.00
-3931.62, -460.00
-3979.24, -460.00
-3892.73, -460.00
-3981.99, -460.00
-3895.43, -460.00
-3892.73, -460.00
-3970.99, -460.00
-3983.37, -460.00
-3979.24, -460.00
-3979.24, -460.00
-3904.89, -460.00
-3895.43, -460.00
-3890.04, -460.00
-3811.50, -460.00
-3896.78, -460.00
-3892.73, -460.00
-3970.99, -460.00
-3895.43, -460.00
-3981.99, -460.00
-3972.37, -460.00
-3920.90, -450.00
-3983.37, -450.00
-3891.39, -450.00
-3981.99, -450.00
-3896.78, -450.00
-3980.62, -450.00
-3883.33, -450.00
-3981.99, -450.00
-3892.73, -450.00
-3806.23, -450.00
-3807.55, -450.00
-3807.55, -450.00
-3815.47, -450.00
-3892.73, -450.00
-3894.08, -450.00
-3895.43, -450.00
-3892.73, -450.00
-3894.08, -450.00
-3895.43, -450.00
-3969.62, -450.00
-3843.53, -440.00
-3895.43, -440.00
-3976.49, -440.00
-3895.43, -440.00
-3888.70, -440.00
-3807.55, -440.00
-3806.23, -440.00
-3807.55, -440.00
-3719.72, -440.00
-3719.72, -440.00
-3811.50, -440.00
-3732.64, -440.00
-3806.23, -440.00
-3806.23, -440.00
-3816.79, -440.00
-3808.86, -440.00
-3886.01, -440.00
-3815.47, -440.00
-3730.05, -440.00
-3811.50, -440.00
-3835.66, -430.00
-3808.86, -430.00
-3808.86, -430.00
-3815.47, -430.00
-3721.01, -430.00
-3723.59, -430.00
-3718.44, -430.00
-3719.72, -430.00
-3643.30, -430.00
-3722.30, -430.00
-3721.01, -430.00
-3721.01, -430.00
-3811.50, -430.00
-3730.05, -430.00
-3721.01, -430.00
-3806.23, -430.00
-3643.30, -430.00
-3722.30, -430.00
-3722.30, -430.00
-3654.72, -430.00
-3752.99, -420.00
-3640.78, -420.00
-3721.01, -420.00
-3636.99, -420.00
-3555.32, -420.00
-3555.32, -420.00
-3644.57, -420.00
-3551.63, -420.00
-3642.04, -420.00
-3635.73, -420.00
-3721.01, -420.00
-3643.30, -420.00
-3722.30, -420.00
-3723.59, -420.00
-3721.01, -420.00
-3721.01, -420.00
-3723.59, -420.00
-3643.30, -420.00
-3723.59, -420.00
-3642.04, -420.00
-3668.94, -410.00
-3636.99, -410.00
-3634.48, -410.00
-3547.94, -410.00
-3550.40, -410.00
-3625.69, -410.00
-3549.17, -410.00
-3550.40, -410.00
-3556.56, -410.00
-3633.22, -410.00
-3556.56, -410.00
-3635.73, -410.00
-3719.72, -410.00
-3633.22, -410.00
-3635.73, -410.00
-3634.48, -410.00
-3556.56, -410.00
-3633.22, -410.00
-3556.56, -410.00
-3633.22, -410.00
-3587.29, -400.00
-3471.02, -400.00
-3551.63, -400.00
-3466.20, -400.00
-3555.32, -400.00
-3471.02, -400.00
-3556.56, -400.00
-3468.61, -400.00
-3631.96, -400.00
-3559.03, -400.00
-3557.79, -400.00
-3633.22, -400.00
-3722.30, -400.00
-3647.10, -400.00
-3550.40, -400.00
-3549.17, -400.00
-3556.56, -400.00
-3556.56, -400.00
-3559.03, -400.00
-3471.02, -400.00
-3504.27, -390.00
-3468.61, -390.00
-3462.60, -390.00
-3386.59, -390.00
-3473.43, -390.00
-3469.81, -390.00
-3381.89, -390.00
-3463.80, -390.00
-3550.40, -390.00
-3469.81, -390.00
-3551.63, -390.00
-3557.79, -390.00
-3634.48, -390.00
-3549.17, -390.00
-3471.02, -390.00
-3474.64, -390.00
-3468.61, -390.00
-3539.36, -390.00
-3468.61, -390.00
-3383.07, -390.00
-3424.66, -380.00
-3384.24, -380.00
-3377.21, -380.00
-3381.89, -380.00
-3381.89, -380.00
-3394.85, -380.00
-3297.47, -380.00
-3461.41, -380.00
-3381.89, -380.00
-3384.24, -380.00
-3462.60, -380.00
-3469.81, -380.00
-3468.61, -380.00
-3461.41, -380.00
-3380.72, -380.00
-3383.07, -380.00
-3385.42, -380.00
-3378.38, -380.00
-3467.41, -380.00
-3383.07, -380.00
-3335.61, -370.00
-3295.18, -370.00
-3374.87, -370.00
-3211.81, -370.00
-3296.32, -370.00
-3295.18, -370.00
-3374.87, -370.00
-3297.47, -370.00
-3296.32, -370.00
-3380.72, -370.00
-3383.07, -370.00
-3298.61, -370.00
-3386.59, -370.00
-3381.89, -370.00
-3381.89, -370.00
-3306.65, -370.00
-3297.47, -370.00
-3295.18, -370.00
-3380.72, -370.00
-3297.47, -370.00
-3335.61, -360.00
-3288.33, -360.00
-3216.27, -360.00
-3210.69, -360.00
-3208.46, -360.00
-3123.92, -360.00
-3209.58, -360.00
-3212.92, -360.00
-3208.46, -360.00
-3209.58, -360.00
-3210.69, -360.00
-3297.47, -360.00
-3216.27, -360.00
-3208.46, -360.00
-3296.32, -360.00
-3290.61, -360.00
-3128.26, -360.00
-3209.58, -360.00
-3210.69, -360.00
-3210.69, -360.00
-3175.42, -350.00
-3210.69, -350.00
-3212.92, -350.00
-3122.83, -350.00
-3121.75, -350.00
-3122.83, -350.00
-3036.09, -350.00
-3122.83, -350.00
-3042.42, -350.00
-3123.92, -350.00
-3122.83, -350.00
-3041.36, -350.00
-3121.75, -350.00
-3123.92, -350.00
-3121.75, -350.00
-3121.75, -350.00
-3131.52, -350.00
-3123.92, -350.00
-3036.09, -350.00
-3036.09, -350.00
-3084.30, -340.00
-3047.72, -340.00
-3045.60, -340.00
-3042.42, -340.00
-3041.36, -340.00
-2956.52, -340.00
-2958.58, -340.00
-2955.49, -340.00
-2867.57, -340.00
-2949.34, -340.00
-2872.56, -340.00
-2952.41, -340.00
-2867.57, -340.00
-2950.36, -340.00
-2958.58, -340.00
-2955.49, -340.00
-2955.49, -340.00
-2964.77, -340.00
-2949.34, -340.00
-2958.58, -340.00
-2995.55, -330.00
-2869.57, -330.00
-2949.34, -330.00
-2867.57, -330.00
-2951.39, -330.00
-2870.56, -330.00
-2958.58, -330.00
-2868.57, -330.00
-2868.57, -330.00
-2876.57, -330.00
-2782.61, -330.00
-2862.60, -330.00
-2782.61, -330.00
-2780.67, -330.00
-2779.71, -330.00
-2781.64, -330.00
-2779.71, -330.00
-2859.62, -330.00
-2782.61, -330.00
-2862.60, -330.00
-2910.96, -320.00
-2783.58, -320.00
-2863.59, -320.00
-2867.57, -320.00
-2865.58, -320.00
-2782.61, -320.00
-2781.64, -320.00
-2784.55, -320.00
-2779.71, -320.00
-2860.61, -320.00
-2781.64, -320.00
-2785.52, -320.00
-2779.71, -320.00
-2773.92, -320.00
-2781.64, -320.00
-2697.53, -320.00
-2693.78, -320.00
-2692.84, -320.00
-2695.65, -320.00
-2696.59, -320.00
-2658.66, -310.00
-2781.64, -310.00
-2695.65, -310.00
-2697.53, -310.00
-2779.71, -310.00
-2693.78, -310.00
-2781.64, -310.00
-2698.47, -310.00
-2693.78, -310.00
-2780.67, -310.00
-2695.65, -310.00
-2694.71, -310.00
-2605.98, -310.00
-2692.84, -310.00
-2695.65, -310.00
-2694.71, -310.00
-2694.71, -310.00
