time, ticks/second, set point
right motor

85604000.00, 0.00, 0.00
85612008.00, 0.00, 0.00
85620016.00, 0.00, 0.00
85628016.00, 0.00, 0.00
85636032.00, 0.00, 0.00
85644032.00, 0.00, 0.00
85652040.00, 0.00, 0.00
85660048.00, 0.00, 0.00
85668056.00, 0.00, 0.00
85676064.00, 0.00, 0.00
85684064.00, 0.00, 0.00
85692072.00, 0.00, 0.00
85700080.00, 0.00, 0.00
85708080.00, 0.00, 0.00
85716096.00, 0.00, 0.00
85724104.00, 0.00, 0.00
85732112.00, 0.00, 0.00
85740120.00, 0.00, 0.00
85748128.00, 0.00, 0.00
85756136.00, 0.00, 0.00
85764144.00, 0.00, 0.00
85772152.00, 0.00, 0.00
85780160.00, 0.00, 0.00
85788160.00, 0.00, 0.00
85796176.00, 0.00, 0.00
85804176.00, 0.00, 0.00
85812192.00, 0.00, 0.00
85820192.00, 0.00, 0.00
85828208.00, 0.00, 0.00
85836208.00, 0.00, 0.00
85844224.00, 0.00, 0.00
85852224.00, 0.00, 0.00
85860240.00, 0.00, 0.00
85868240.00, 0.00, 0.00
85876248.00, 0.00, 0.00
85884256.00, 0.00, 0.00
85892264.00, 0.00, 0.00
85900272.00, 0.00, 0.00
85908280.00, 0.00, 0.00
85916288.00, 0.00, 0.00
85924296.00, 0.00, 0.00
85932304.00, 0.00, 0.00
85940312.00, 0.00, 0.00
85948320.00, 0.00, 0.00
85956328.00, 0.00, 0.00
85964336.00, 0.00, 0.00
85972344.00, 0.00, 0.00
85980352.00, 0.00, 0.00
85988368.00, 0.00, 0.00
85996376.00, 0.00, 0.00
86004384.00, 0.00, 0.00
86012392.00, 0.00, 0.00
86020400.00, 0.00, 0.00
86028408.00, 0.00, 0.00
86036416.00, 0.00, 0.00
86044432.00, 0.00, 0.00
86052432.00, 0.00, 0.00
86060448.00, 0.00, 0.00
86068448.00, 0.00, 0.00
86076456.00, 0.00, 0.00
86084464.00, 0.00, 0.00
86092472.00, 0.00, 0.00
86100480.00, 0.00, 0.00
86108480.00, 0.00, 0.00
86116496.00, 0.00, 0.00
86124496.00, 0.00, 0.00
86132512.00, 0.00, 0.00
87134360.00, 0.00, 300.00
87142368.00, 0.00, 300.00
87150376.00, 0.00, 300.00
87158384.00, 0.00, 300.00
87166384.00, 124.88, 300.00
87174392.00, 374.81, 300.00
87182400.00, 873.69, 300.00
87190416.00, 999.00, 300.00
87198416.00, 1123.88, 300.00
87206432.00, 1248.75, 300.00
87214432.00, 1373.63, 300.00
87222448.00, 1372.94, 300.00
87230456.00, 1248.75, 300.00
87238464.00, 1248.13, 300.00
87246480.00, 1373.63, 300.00
87254480.00, 1498.50, 300.00
87262496.00, 1498.50, 300.00
87270504.00, 1622.57, 300.00
87278512.00, 1498.50, 300.00
87286520.00, 1623.38, 300.00
87294528.00, 1748.25, 300.00
87302536.00, 1623.38, 300.00
87310544.00, 1747.38, 300.00
87318560.00, 1748.25, 300.00
87326560.00, 1748.25, 300.00
87334576.00, 1872.19, 300.00
87342592.00, 1747.38, 300.00
87350592.00, 1873.13, 300.00
87358608.00, 1873.13, 300.00
87366608.00, 1873.13, 300.00
87374632.00, 1995.01, 300.00
87382640.00, 1874.06, 300.00
87390648.00, 1872.19, 300.00
87398656.00, 1872.19, 300.00
87406672.00, 1873.13, 300.00
87414696.00, 1993.02, 300.00
87422704.00, 1873.13, 300.00
87430720.00, 1997.00, 300.00
87438720.00, 1998.00, 300.00
87446736.00, 1998.00, 300.00
87454736.00, 1873.13, 300.00
87462752.00, 1997.00, 300.00
