// This data is used to show the mapping from input to output when under no load.
// There is a dead zone region, and the mapping may not be linear.
// Ticks / second; Input (PWM units -1024 -> 1024)
-7.00, -500.00
0.00, -500.00
-179.47, -500.00
-1056.34, -500.00
-1837.59, -500.00
-2359.31, -500.00
-2615.97, -500.00
-2704.12, -500.00
-2786.49, -500.00
-2961.67, -500.00
-2965.81, -500.00
-2963.74, -500.00
-3218.51, -500.00
-3226.37, -500.00
-3130.43, -500.00
-3219.63, -500.00
-3297.47, -500.00
-3386.59, -500.00
-3218.51, -500.00
-3219.63, -500.00
-3174.33, -490.00
-3654.72, -490.00
-3906.25, -490.00
-3822.10, -490.00
-3555.32, -490.00
-3563.98, -490.00
-3908.96, -490.00
-3993.06, -490.00
-3991.67, -490.00
-3902.19, -490.00
-3903.54, -490.00
-3904.89, -490.00
-3987.52, -490.00
-4079.86, -490.00
-3906.25, -490.00
-3906.25, -490.00
-4000.00, -490.00
-3814.15, -490.00
-3565.22, -490.00
-3986.14, -490.00
-4358.97, -480.00
-4332.76, -480.00
-3891.39, -480.00
-3910.32, -480.00
-4329.75, -480.00
-4499.83, -480.00
-4249.05, -480.00
-4079.86, -480.00
-3993.06, -480.00
-4246.10, -480.00
-4331.25, -480.00
-4077.03, -480.00
-3993.06, -480.00
-4152.25, -480.00
-3903.54, -480.00
-3811.50, -480.00
-4089.80, -480.00
-4594.31, -480.00
-4329.75, -480.00
-3984.75, -480.00
-4028.11, -470.00
-4414.82, -470.00
-4502.94, -470.00
-4332.76, -470.00
-4078.44, -470.00
-4156.56, -470.00
-4329.75, -470.00
-4246.10, -470.00
-4071.38, -470.00
-4077.03, -470.00
-4079.86, -470.00
-3818.12, -470.00
-3822.10, -470.00
-4337.27, -470.00
-4583.19, -470.00
-4165.22, -470.00
-3904.89, -470.00
-4165.22, -470.00
-4504.50, -470.00
-4420.94, -470.00
-4108.18, -460.00
-4072.79, -460.00
-4246.10, -460.00
-4338.77, -460.00
-4156.56, -460.00
-4072.79, -460.00
-4079.86, -460.00
-3990.28, -460.00
-3816.79, -460.00
-4000.00, -460.00
-4434.78, -460.00
-4416.35, -460.00
-4068.56, -460.00
-3913.04, -460.00
-4341.79, -460.00
-4499.83, -460.00
-4250.52, -460.00
-4155.12, -460.00
-4071.38, -460.00
-4163.78, -460.00
-4276.43, -450.00
-4150.81, -450.00
-3990.28, -450.00
-4077.03, -450.00
-3819.44, -450.00
-3820.77, -450.00
-4074.20, -450.00
-4506.07, -450.00
-4247.57, -450.00
-3896.78, -450.00
-3991.67, -450.00
-4332.76, -450.00
-4498.27, -450.00
-4163.78, -450.00
-4075.62, -450.00
-4079.86, -450.00
-4250.52, -450.00
-4162.33, -450.00
-3988.90, -450.00
-3995.83, -450.00
-4025.35, -440.00
-3815.47, -440.00
-3653.44, -440.00
-4166.67, -440.00
-4495.16, -440.00
-4163.78, -440.00
-3818.12, -440.00
-3991.67, -440.00
-4337.27, -440.00
-4335.76, -440.00
-4163.78, -440.00
-3993.06, -440.00
-3990.28, -440.00
-4241.69, -440.00
-4166.67, -440.00
-3984.75, -440.00
-3910.32, -440.00
-4071.38, -440.00
-3731.34, -440.00
-3732.64, -440.00
-4099.76, -430.00
-4427.08, -430.00
-4162.33, -430.00
-3736.53, -430.00
-3991.67, -430.00
-4332.76, -430.00
-4250.52, -430.00
-4068.56, -430.00
-3990.28, -430.00
-3984.75, -430.00
-4078.44, -430.00
-4077.03, -430.00
-3906.25, -430.00
-3904.89, -430.00
-3991.67, -430.00
-3735.23, -430.00
-3565.22, -430.00
-3826.09, -430.00
-4335.76, -430.00
-4243.16, -430.00
-3764.54, -420.00
-3737.83, -420.00
-4165.22, -420.00
-4250.52, -420.00
-4078.44, -420.00
-3906.25, -420.00
-3899.48, -420.00
-3911.68, -420.00
-4078.44, -420.00
-3906.25, -420.00
-3731.34, -420.00
-3904.89, -420.00
-3819.44, -420.00
-3480.68, -420.00
-3478.26, -420.00
-3988.90, -420.00
-4256.43, -420.00
-3906.25, -420.00
-3644.57, -420.00
-3737.83, -420.00
-4028.11, -410.00
-4150.81, -410.00
-3906.25, -410.00
-3739.13, -410.00
-3819.44, -410.00
-3904.89, -410.00
-3991.67, -410.00
-3733.94, -410.00
-3732.64, -410.00
-3816.79, -410.00
-3819.44, -410.00
-3478.26, -410.00
-3480.68, -410.00
-3826.09, -410.00
-4238.75, -410.00
-3906.25, -410.00
-3566.46, -410.00
-3653.44, -410.00
-4068.56, -410.00
-3993.06, -410.00
-3858.02, -400.00
-3819.44, -400.00
-3818.12, -400.00
-3824.76, -400.00
-3907.61, -400.00
-3736.53, -400.00
-3731.34, -400.00
-3739.13, -400.00
-3732.64, -400.00
-3556.56, -400.00
-3388.95, -400.00
-3740.43, -400.00
-4081.28, -400.00
-3991.67, -400.00
-3643.30, -400.00
-3568.94, -400.00
-3988.90, -400.00
-3986.14, -400.00
-3988.90, -400.00
-3820.77, -400.00
-3771.00, -390.00
-3744.34, -390.00
-3903.54, -390.00
-3820.77, -390.00
-3728.75, -390.00
-3650.90, -390.00
-3812.82, -390.00
-3565.22, -390.00
-3305.50, -390.00
-3563.98, -390.00
-3913.04, -390.00
-4077.03, -390.00
-3653.44, -390.00
-3479.47, -390.00
-3731.34, -390.00
-3994.44, -390.00
-3899.48, -390.00
-3737.83, -390.00
-3650.90, -390.00
-3736.53, -390.00
-3691.62, -380.00
-3816.79, -380.00
-3731.34, -380.00
-3565.22, -380.00
-3653.44, -380.00
-3653.44, -380.00
-3401.95, -380.00
-3308.95, -380.00
-3566.46, -380.00
-3986.14, -380.00
-3818.12, -380.00
-3557.79, -380.00
-3392.48, -380.00
-3731.34, -380.00
-3898.13, -380.00
-3740.43, -380.00
-3652.17, -380.00
-3652.17, -380.00
-3572.67, -380.00
-3644.57, -380.00
-3689.09, -370.00
-3567.70, -370.00
-3480.68, -370.00
-3568.94, -370.00
-3570.18, -370.00
-3385.42, -370.00
-3217.39, -370.00
-3398.40, -370.00
-3831.42, -370.00
-3826.09, -370.00
-3478.26, -370.00
-3393.66, -370.00
-3566.46, -370.00
-3740.43, -370.00
-3731.34, -370.00
-3648.37, -370.00
-3566.46, -370.00
-3567.70, -370.00
-3560.26, -370.00
-3645.83, -370.00
-3602.06, -360.00
-3484.32, -360.00
-3475.84, -360.00
-3563.98, -360.00
-3479.47, -360.00
-3138.08, -360.00
-3219.63, -360.00
-3477.05, -360.00
-3812.82, -360.00
-3647.10, -360.00
-3307.80, -360.00
-3306.65, -360.00
-3566.46, -360.00
-3732.64, -360.00
-3565.22, -360.00
-3477.05, -360.00
-3567.70, -360.00
-3393.66, -360.00
-3477.05, -360.00
-3480.68, -360.00
-3511.48, -350.00
-3303.20, -350.00
-3394.85, -350.00
-3391.30, -350.00
-3384.24, -350.00
-3133.70, -350.00
-3053.04, -350.00
-3392.48, -350.00
-3654.72, -350.00
-3565.22, -350.00
-3303.20, -350.00
-3227.49, -350.00
-3399.58, -350.00
-3478.26, -350.00
-3472.22, -350.00
-3394.85, -350.00
-3480.68, -350.00
-3391.30, -350.00
-3304.35, -350.00
-3312.41, -350.00
-3428.18, -340.00
-3303.20, -340.00
-3131.52, -340.00
-3308.95, -340.00
-3305.50, -340.00
-3218.51, -340.00
-2875.57, -340.00
-2963.74, -340.00
-3304.35, -340.00
-3479.47, -340.00
-3391.30, -340.00
-3131.52, -340.00
-3129.35, -340.00
-3224.12, -340.00
-3390.13, -340.00
-3384.24, -340.00
-3225.24, -340.00
-3307.80, -340.00
-3304.35, -340.00
-3135.89, -340.00
-3093.85, -330.00
-3305.50, -330.00
-3305.50, -330.00
-3058.37, -330.00
-3051.97, -330.00
-3139.17, -330.00
-3219.63, -330.00
-3040.31, -330.00
-2787.46, -330.00
-2875.57, -330.00
-3307.80, -330.00
-3478.26, -330.00
-3225.24, -330.00
-2962.70, -330.00
-2966.84, -330.00
-3138.08, -330.00
-3388.95, -330.00
-3223.00, -330.00
-3133.70, -330.00
-3219.63, -330.00
-3259.01, -320.00
-3049.84, -320.00
-3051.97, -320.00
-3139.17, -320.00
-3217.39, -320.00
-3050.91, -320.00
-2956.52, -320.00
-3051.97, -320.00
-3139.17, -320.00
-2961.67, -320.00
-2700.35, -320.00
-2788.43, -320.00
-3051.97, -320.00
-3305.50, -320.00
-3217.39, -320.00
